Player,Batting,Bowling,Umpire
AA Alleyne,Right hand,Right arm pace,No
AAA Patel,Right hand,,No
AA Banner,Right hand,Right arm pace,No
AA Bilakhia,Right hand,Right arm pace,No
AA Deshpande,Right hand,,No
Aaftab Alam Khan,Right hand,Right arm pace,No
A Ahmadhel,Right hand,Right arm pace,No
AAIP Bastari,Right hand,,No
A Aitken,Right hand,Right arm pace,No
AA Jhunjhunwala,Right hand,Right arm off break,No
AAM Eliane,Right hand,Right arm pace,No
Aamer Yamin,Right hand,Right arm pace,No
Aamir Gani,Right hand,Right arm off break,No
Aamir Javed,Right hand,Right arm pace,No
AA Mulla,Right hand,,No
Aanand Pandey,Right hand,Right arm pace,No
A Andrews,Right hand,Right arm pace,No
AA Noffke,Right hand,Right arm pace,No
AA Obanda,Right hand,Right arm pace,No
AA Onikoyi,Right hand,Right arm leg break,No
AA Patil,Right hand,Right arm off break,No
AAP Atkinson,Right hand,Right arm pace,No
Aarif Sheikh,Right hand,Right arm pace,No
Aaron Jones,Right hand,Right arm leg break,No
AA Sanguelkar,Right hand,Right arm pace,No
A Ashish Reddy,Right hand,Right arm pace,No
A Ashokan,Right hand,Right arm pace,No
Aasif Sheikh,Right hand,,No
AAS Silva,Right hand,Right arm off break,No
A Bagai,Right hand,,No
AB Agarkar,Right hand,Right arm pace,No
A Balbirnie,Right hand,Right arm off break,No
A Barnes,Right hand,Right arm off break,No
AB Barath,Right hand,Right arm off break,No
Abbas Afridi,Right hand,Right arm pace,No
Abbas Saad,Right hand,Right arm leg break,No
AB Chawla,Right hand,Right arm leg break,No
Abdalah Lubega,Right hand,Right arm off break,No
AB de Villiers,Right hand,Right arm pace,No
AB Dinda,Right hand,Right arm pace,No
Abdul Halim,Right hand,Right arm pace,No
Abdul Haq,Right hand,Right arm pace,No
Abdul Hashim,Right hand,,No
Abdul Jabbar,Right hand,Right arm pace,No
Abdullah Akhunzada,Right hand,Right arm leg break,No
Abdullah Al Mamun,Right hand,Right arm pace,No
Abdullah Jasat,Right hand,Left arm pace,No
Abdullah Shafique,Right hand,Right arm off break,No
Abdullah Sheikh,Right hand,Right arm leg break,No
Abdullah Syed,Right hand,Right arm off break,No
Abdul Malik,Right hand,Right arm off break,No
Abdul Manan,Right hand,Right arm pace,No
Abdul Mazid,Right hand,Right arm off break,No
Abdul Nasir,Right hand,Right arm off break,No
Abdul Rahman,Right hand,,No
Abdulrahman Dashti,Right hand,,No
Abdul Rashid Karim,Right hand,,No
Abdul Razzaq,Right hand,Right arm pace,No
Abdul Rehman,Right hand,,No
Abdul Sadiq,Right hand,Right arm leg break,No
Abdul Samad,Right hand,Right arm leg break,No
Abdul Shakoor,Right hand,,No
Abdul-Shakoor Rahimzei,Right hand,Right arm off break,No
Abdul Waheed,Right hand,Right arm off break,No
Abdul Wahid,Right hand,Right arm pace,No
Abdul Wasi,Right hand,Right arm leg break,No
Abdur Rauf,Right hand,Right arm pace,No
A Beggs,Right hand,Right arm pace,No
A Bhagwat,Right hand,,No
A Bhandari,Right hand,Right arm pace,No
A Bhattarai,Right hand,Left arm pace,No
Abhijeet Ahuja,Right hand,Right arm pace,No
Abhilasha Singh,Right hand,Right arm off break,No
AB Holder,Right hand,Right arm pace,No
Abid Ali,Right hand,Right arm leg break,No
A Bidari,Right hand,Right arm leg break,No
Abid Mushtaq,Right hand,,No
A Bishnoi,Right hand,Right arm pace,No
AB Kamara,Right hand,Right arm pace,No
AB McDonald,Right hand,Right arm pace,No
AB Mengoumou,Right hand,Right arm pace,No
A Bohara,Right hand,Right arm pace,No
A Bonora,Right hand,Right arm pace,No
A Bosch,Right hand,Right arm pace,No
A Bose,Right hand,,No
AB Perrin,Right hand,Right arm pace,No
Abraash Khan,Right hand,Right arm pace,No
A Bramble,Right hand,,No
A Brindle,Right hand,Right arm pace,No
Absar Khan,Right hand,Right arm pace,No
Abu Hider,Right hand,Left arm pace,No
Abu Jayed,Right hand,Right arm pace,No
A Bulow,Right hand,Right arm pace,No
A Burdett,Right hand,Right arm off break,No
A Canning,Right hand,Right arm pace,No
A Capsey,Right hand,Right arm off break,No
A Carter,Right hand,Right arm pace,No
AC Cummins,Right hand,Right arm pace,No
AC Dawson,Right hand,Right arm pace,No
AC Douglas,Right hand,,No
AC Evans,Right hand,Right arm pace,No
ACF Stokes,Right hand,Left arm orthodox,No
ACF Wyatt,Right hand,Right arm pace,No
A Chandila,Right hand,Right arm off break,No
A Chilia,Right hand,Right arm pace,No
A Chopra,Right hand,Right arm pace,No
